,product_id,final_quantity_requested,company_id_x,ship_from_site_id,customer_tpartner_id,requested_delivery_date,order_date,actual_delivery_date,promised_delivery_date,status,id_x,cust_order_id,id_y,description,company_id_y,Unnamed: 3,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8152,8293512,1,1,25,,2021-12-05,2021-12-05,2021-12-05,2021-12-05,Closed,8293512/25//1356544382/1,1356544382,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8153,8293512,1,1,444,9595770.0,2022-01-26,2022-01-26,2022-01-26,2022-01-26,Closed,8293512/444/95957/13733473/1,1373347603,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8154,8293512,1,1,805,9573371.0,2022-01-07,2022-01-03,2022-01-07,2022-01-07,Closed,8293512/5/9573371/13668936/1,1366897036,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8155,8293512,1,1,54,7766169.0,2021-12-23,2021-12-23,2021-12-23,2021-12-23,Closed,8293512/54/7766169/136377/2,1363907207,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8156,8293512,1,1,805,,2022-01-12,2022-01-08,2022-01-12,2022-01-12,Closed,8293512/5//1368876242/3,1368876242,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8157,8293512,1,1,140,8327186.0,2021-11-16,2021-11-16,2021-11-16,2021-11-16,Closed,8293512/1/8327186/1349972672/4,1349972672,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8158,8293512,1,1,212,9397829.0,2022-03-19,2022-03-19,2022-03-19,2022-03-19,Closed,8293512/212/9397829/138924/28,1389202430,8293512,CAP IN RECYCLE TASLAN W PILE:DARK KHAKI:40/42,1,8205125 Cap in recycle taslan w pile/8205125 Cap in recycle taslan w pile - Dark Khaki,,,,,,,False,,,,8917 Baby Other,9405,Headgear,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8159,8272704,1,1,184,7114456.0,2021-11-05,2021-11-05,2021-11-05,2021-11-05,Closed,82724/184/7114456/1346464432/2,1346464432,8272704,BODY WRAP RED PANDA AOP:BLUE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Blue,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
8160,8272704,1,1,307,,2021-11-09,2021-11-09,2021-11-09,2021-11-09,Closed,82724/7//1347595424/4,1347595424,8272704,BODY WRAP RED PANDA AOP:BLUE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Blue,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
8161,8272704,1,1,448,,2021-08-03,2021-08-03,2021-08-03,2021-08-03,Closed,82724/448//1319472977/1,1319472977,8272704,BODY WRAP RED PANDA AOP:BLUE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Blue,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
