id,description,company_id,,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8567221,BRIEF  IRIS REGULAR:LIGHT BLUE:44/46,1,7960370 Brief  Iris Regular/7960370 Brief  Iris Regular - Light Blue,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.71,USD,,,,,,,,,,,,,,,
8237294,TROUSERS VELOUR:DUSTY PINK:74,1,8215143 Trousers velour/8215143 Trousers velour - Dusty Pink,,,,,,,FALSE,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.9,USD,,,,,,,,,,,,,,,
8603058,SET BODY SHORTS BUMLEBEE:LIGHT DUSTY BLUE:74,1,8577053 Set body shorts bumlebee/8577053 Set body shorts bumlebee - Light Dusty Blue,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,2-PACK,4.5,USD,,,,,,,,,,,,,,,
8141313,TROUSERS DENIM HANNA LT BLUE:LIGHT DENIM:34,1,8044193 Trousers denim Hanna lt blue/8044193 Trousers denim Hanna lt blue - Light denim,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,7.55,USD,,,,,,,,,,,,,,,
8308463,BRIEF REGULAR STINA MICRO:BLACK:623,1,7559977 Brief Regular Stina micro/7559977 Brief Regular Stina micro - Black,,,,,,,FALSE,,,,2012 Lindex Brief Basic,9326,Brief/Pants,,1-PACK,1.87,USD,,,,,,,,,,,,,,,
8541030,SWEATSHIRT HEARTS:LIGHT BEIGE:80,1,8494389 Sweatshirt Hearts/8494389 Sweatshirt Hearts - Light Beige,,,,,,,FALSE,,,,8914 Baby CoP Tops,9463,Sweatshirt,,1-PACK,2.9,USD,,,,,,,,,,,,,,,
8559466,BRIEF SO U  DANA HIGH LEG THON:LIGHT PINK:44/46,1,8518293 Brief So U  Dana high leg thon/8518293 Brief So U  Dana high leg thon - Light Pink,,,,,,,FALSE,,,,2010 So.U Brief,9326,Brief/Pants,,1-PACK,1.1,USD,,,,,,,,,,,,,,,
8566750,TROUSER DENIM PAM LT BLUE:LIGHT DENIM:38,1,8516606 Trouser denim Pam lt blue/8516606 Trouser denim Pam lt blue - Light denim,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,10.1,USD,,,,,,,,,,,,,,,
8637622,SET BODY   BIKER SHORTS MELON:LIGHT GREEN:74,1,8611750 Set body   biker shorts Melon/8611750 Set body   biker shorts Melon - Light Green,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,2-PACK,4,USD,,,,,,,,,,,,,,,
8621036,PYJAMAS ROMPER ICECREAM:DARK NAVY:92,1,8579035 Pyjamas Romper Icecream/8579035 Pyjamas Romper Icecream - Dark Navy,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,3.2,USD,,,,,,,,,,,,,,,
8325217,DRESS SANTA:RED:177,1,8247740 Dress santa/8247740 Dress santa - Red,,,,,,,FALSE,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.9,USD,,,,,,,,,,,,,,,
8314647,TROUSERS VELOUR:LIGHT GREY MELANGE:74,1,8215143 Trousers velour/8215143 Trousers velour - Light Grey Melange,,,,,,,FALSE,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.9,USD,,,,,,,,,,,,,,,
8446095,BODY WRAP SS WILD STRAWBERRIES:LIGHT GREEN:62,1,8414416 Body wrap ss wild strawberries/8414416 Body wrap ss wild strawberries - Light Green,,,,,,,FALSE,,,,8912 Newborn,9328,Body,,1-PACK,2.58,USD,,,,,,,,,,,,,,,
8618323,SET TUNIC LEGGINGS AOP:LIGHT DUSTY PINK:86,1,8607008 Set tunic leggings aop/8607008 Set tunic leggings aop - Light Dusty Pink,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,2-PACK,3.85,USD,,,,,,,,,,,,,,,
8199539,SUN HAT JERSEY:LIGHT BEIGE:40/42,1,8135832 Sun Hat jersey/8135832 Sun Hat jersey - Light Beige,,,,,,,FALSE,,,,8913 Baby Basic,9405,Headgear,,1-PACK,1.83,USD,,,,,,,,,,,,,,,
8190427,BRIEF THONG LOW IRIS:LIGHT DUSTY AQUA:34,1,8103515 Brief Thong low Iris/8103515 Brief Thong low Iris - Light Dusty Aqua,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.48,USD,,,,,,,,,,,,,,,
8488351,TOP SS AOP FISH:DUSTY BLUE:68,1,8414422 Top ss aop fish/8414422 Top ss aop fish - Dusty blue,,,,,,,FALSE,,,,8910 Baby Tops,9312,Top,,1-PACK,2.9,EUR,,,,,,,,,,,,,,,
8337903,PYJAMAS DALMATIAN BACK FOCUS:LIGHT BEIGE:62,1,8305143 Pyjamas Dalmatian back focus/8305143 Pyjamas Dalmatian back focus - Light Beige,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,3.7,USD,,,,,,,,,,,,,,,
8125153,SET SWEATER LEGGINGS BALLOON:LIGHT BEIGE:74,1,8104480 Set sweater leggings balloon/8104480 Set sweater leggings balloon - Light Beige,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,1-PACK,4.04,USD,,,,,,,,,,,,,,,
8305668,BRIEF  CORA MESH BRAZILIAN HIG:BEIGE:34,1,8170928 Brief  cora mesh brazilian hig/8170928 Brief  cora mesh brazilian hig - Beige,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,2.45,USD,,,,,,,,,,,,,,,
8547201,PYJAMAS HEARTS AOP:LIGHT BEIGE:68,1,8487201 Pyjamas Hearts aop/8487201 Pyjamas Hearts aop - Light Beige,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,5.35,EUR,,,,,,,,,,,,,,,
8251801,SHORT LEGGINGS MERINO WOOL JAN:BLACK:L,1,8249154 Short Leggings merino wool Jan/8249154 Short Leggings merino wool Jan - Black,,,,,,,FALSE,,,,2700 Base Layer Underwear,9326,Brief/Pants,,1-PACK,5.5,USD,,,,,,,,,,,,,,,
8524864,BRIEF  THONG LOW MINI JASMINE:BLACK:34,1,8445036 Brief  Thong low mini Jasmine/8445036 Brief  Thong low mini Jasmine - Black,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,2.2226,USD,,,,,,,,,,,,,,,
8236850,BODY BASIC RIB DOTS:BLUE:86,1,8196593 Body basic rib dots/8196593 Body basic rib dots - Blue,,,,,,,FALSE,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.85,USD,,,,,,,,,,,,,,,
8342670,BODY WRAP AOP SKIING ANIMALS:LIGHT BEIGE:62,1,8277394 Body wrap aop skiing animals/8277394 Body wrap aop skiing animals - Light Beige,,,,,,,FALSE,,,,8912 Newborn,9328,Body,,1-PACK,2.51,USD,,,,,,,,,,,,,,,
8148364,BRIEF CARIN REGULAR:LIGHT BLUE MELANG:619,1,8146614 Brief Carin regular/8146614 Brief Carin regular - Light Blue Melange,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.35,USD,,,,,,,,,,,,,,,
8272729,BODY RED PANDA AOP:DUSTY PINK:80,1,8230418 Body Red Panda aop/8230418 Body Red Panda aop - Dusty Pink,,,,,,,FALSE,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.48,USD,,,,,,,,,,,,,,,
8331098,BRIEF  BRAZI HIGH SEAMLESS RIB:LIGHT BLUE:44/46,1,8084021 Brief  Brazi High Seamless Rib/8084021 Brief  Brazi High Seamless Rib - Light Blue,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.63,USD,,,,,,,,,,,,,,,
8586437,BRIEF COLIN THONG LOW FASHION:LIGHT DUSTY CORAL:40/42,1,8504484 Brief Colin Thong Low fashion/8504484 Brief Colin Thong Low fashion - Light dusty coral,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,2.47,USD,,,,,,,,,,,,,,,
8202130,SET TUNIC AND LEGGINGS FRUITMA:LIGHT BEIGE:86,1,8173393 Set tunic and leggings fruitma/8173393 Set tunic and leggings fruitma - Light Beige,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,1-PACK,4.62,EUR,,,,,,,,,,,,,,,
8587032,SWEATER KNITTED CLOVER:DUSTY GREEN:80,1,8545155 Sweater knitted clover/8545155 Sweater knitted clover - Dusty Green,,,,,,,FALSE,,,,8910 Baby Tops,9313,Sweater,,1-PACK,5.4,USD,,,,,,,,,,,,,,,
7884293,BRIEF REGULAR MATT SHINY:LIGHT DUSTY LILAC:619,1,7821222 Brief regular matt shiny/7821222 Brief regular matt shiny - Light Dusty Lilac,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.49,USD,,,,,,,,,,,,,,,
8360129,BRIEF  MEGAN BRAZILIAN MIDI:DARK DUSTY BROWN:44/46,1,8229729 Brief  Megan brazilian midi/8229729 Brief  Megan brazilian midi - Dark Dusty Brown,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,3.01,USD,,,,,,,,,,,,,,,
8398918,DRESS WOVEN SEERSUCKER CHECK:BEIGE:68,1,8345800 Dress woven seersucker check/8345800 Dress woven seersucker check - Beige,,,,,,,FALSE,,,,8910 Baby Tops,9318,Dress,,1-PACK,6.45,USD,,,,,,,,,,,,,,,
8078540,TROUSERS DENIM JERSEY:DENIM BLUE:80,1,8015196 Trousers denim jersey/8015196 Trousers denim jersey - Denim blue,,,,,,,FALSE,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,5.79,USD,,,,,,,,,,,,,,,
8230930,LEGGINGS BASIC RIB DOTS:OFF BLACK:62,1,8196599 Leggings basic rib dots/8196599 Leggings basic rib dots - Off black,,,,,,,FALSE,,,,8911 Baby Bottoms,9472,Leggings,,1-PACK,2,USD,,,,,,,,,,,,,,,
8478491,SWEATPANTS SOLID KNEE PATCH:DUSTY GREEN:62,1,8433756 Sweatpants solid knee patch/8433756 Sweatpants solid knee patch - Dusty Green,,,,,,,FALSE,,,,8912 Newborn,9315,Trousers,,1-PACK,2.57,USD,,,,,,,,,,,,,,,
8142923,BODY WRAP MULTI ANIMAL AOP:OFF BLACK:62,1,8107652 Body Wrap Multi animal aop/8107652 Body Wrap Multi animal aop - Off black,,,,,,,FALSE,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.3,USD,,,,,,,,,,,,,,,
7621189,BRIEF  EVA TENCEL REGULAR:GREY MELANGE:620,1,7396027 Brief  Eva Tencel Regular/7396027 Brief  Eva Tencel Regular - Grey Melange,,,,,,,FALSE,,,,2012 Lindex Brief Basic,9326,Brief/Pants,,1-PACK,1.53,USD,,,,,,,,,,,,,,,
8600563,BRIEF  NOVA MIX 3 PACK THONG H:BLUE:44/46,1,8554446 Brief  Nova mix 3 pack thong h/8554446 Brief  Nova mix 3 pack thong h - Blue,,,,,,,FALSE,,,,2010 So.U Brief,9326,Brief/Pants,,3-PACK,3.6,USD,,,,,,,,,,,,,,,
8394200,TROUSER DENIM BIM:DENIM BLUE:38,1,8328868 Trouser denim Bim/8328868 Trouser denim Bim - Denim blue,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,11.34,USD,,,,,,,,,,,,,,,
8568101,BODY WRAP AOP AIRBALLOONS ANIM:LIGHT DUSTY YELLOW:62,1,8534190 Body wrap aop airballoons anim/8534190 Body wrap aop airballoons anim - Light Dusty Yellow,,,,,,,FALSE,,,,8912 Newborn,9328,Body,,1-PACK,2.8,USD,,,,,,,,,,,,,,,
8271266,TROUSERS DENIM NEA WASHED BLAC:BLACK:38,1,8184453 Trousers Denim Nea washed blac/8184453 Trousers Denim Nea washed blac - Black,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,8.95,USD,,,,,,,,,,,,,,,
5968965,BRIEF CARIN REGULAR:BLACK:621,1,5962125 Brief Carin regular/5962125 Brief Carin regular - Black,,,,,,,FALSE,,,,2012 Lindex Brief Basic,9326,Brief/Pants,,1-PACK,1.24,USD,,,,,,,,,,,,,,,
8186840,BRIEF WILMA CLASSIC REG LONGIN:BLACK:40/42,1,8138442 Brief Wilma Classic reg Longin/8138442 Brief Wilma Classic reg Longin - Black,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.6,USD,,,,,,,,,,,,,,,
8435599,BRIEF CARIN REGULAR SKETCH LEO:LT PINK:36/38,1,8390910 Brief Carin regular sketch leo/8390910 Brief Carin regular sketch leo - Lt pink,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.35,USD,,,,,,,,,,,,,,,
8538475,BODY WRAP VEGGIES:DARK LILAC:56,1,8494132 Body Wrap Veggies/8494132 Body Wrap Veggies - Dark Lilac,,,,,,,FALSE,,,,8912 Newborn,9328,Body,,1-PACK,2.8,USD,,,,,,,,,,,,,,,
7874831,BRIEF LACE INVISIBLE THONG LOW:LIGHT BEIGE:36/38,1,7849505 Brief lace Invisible Thong low/7849505 Brief lace Invisible Thong low - Light Beige,,,,,,,FALSE,,,,2010 So.U Brief,9326,Brief/Pants,,1-PACK,1.12,USD,,,,,,,,,,,,,,,
7785496,CAMISOLE WOOL RACHEL:BLACK:S,1,7705448 Camisole Wool Rachel/7705448 Camisole Wool Rachel - Black,,,,,,,FALSE,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,,USD,,,,,,,,,,,,,,,
8051062,BRIEF  BRAZILIAN HIGH IRIS:BLACK:48/50,1,7873011 Brief  Brazilian high Iris/7873011 Brief  Brazilian high Iris - Black,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.75,USD,,,,,,,,,,,,,,,
8616544,TOP FISHES:LIGHT BEIGE:86,1,8580040 Top Fishes/8580040 Top Fishes - Light Beige,,,,,,,FALSE,,,,8910 Baby Tops,9312,Top,,1-PACK,2,USD,,,,,,,,,,,,,,,
8271160,TROUSERS DENIM ALBA BLUE:DENIM BLUE:46,1,8162293 Trousers denim Alba blue/8162293 Trousers denim Alba blue - Denim blue,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,12.2,USD,,,,,,,,,,,,,,,
7990401,TROUSERS DENIM CLARA BLUE:DENIM:40,1,7908886 Trousers denim Clara blue/7908886 Trousers denim Clara blue - Denim,,,,,,,FALSE,,,,4022 Denim Trousers,9465,Jeans,,1-PACK,12.54,USD,,,,,,,,,,,,,,,
8120120,BODY WRAP SHOOTING STARS:LIGHT BEIGE:56,1,8089838 Body Wrap Shooting Stars/8089838 Body Wrap Shooting Stars - Light Beige,,,,,,,FALSE,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.3,USD,,,,,,,,,,,,,,,
8550694,BODY AOP FLOWERS:DUSTY PINK:74,1,8449332 Body aop flowers/8449332 Body aop flowers - Dusty Pink,,,,,,,FALSE,,,,8910 Baby Tops,9328,Body,,1-PACK,4.15,EUR,,,,,,,,,,,,,,,
8365976,PYJAMAS TIGERS AOP:GREEN:86,1,8313765 Pyjamas Tigers aop/8313765 Pyjamas Tigers aop - Green,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,3.28,USD,,,,,,,,,,,,,,,
8434246,BRIEF  AMIE BRAZILIAN MIDI:BLACK:34,1,8375231 Brief  Amie brazilian midi/8375231 Brief  Amie brazilian midi - Black,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,3.2,USD,,,,,,,,,,,,,,,
